Date,BoosterVersion,LaunchSite,Payload,PayloadMass_kg,Orbit,Outcome
"July 2, 2025",F9 B5B1067‐29,"Cape Canaveral, SLC‐40",Starlink: Group 10-25,15500.0,LEO,Success
"July 8, 2025",F9 B5B1077‐22,"Cape Canaveral, SLC‐40",Starlink: Group 10-28,16100.0,LEO,Success
"July 13, 2025",F9 B5B1083‐13,"Cape Canaveral, SLC‐40",Dror-1 [he],4000.0,GTO,Success
"July 16, 2025",F9 B5B1093‐4,"Vandenberg, SLC‐4E",Starlink: Group 15-2,14950.0,LEO,Success
"July 16, 2025",F9 B5B1096‐1,"Cape Canaveral, SLC‐40",KuiperSat × 24 (KF-01),14784.0,LEO,Success
"July 19, 2025",F9 B5B1082‐14,"Vandenberg, SLC‐4E",Starlink: Group 17-3,17500.0,SSO,Success
"July 22, 2025",F9 B5B1090‐6,"Cape Canaveral, SLC‐40",O3b mPOWER 9 & 10,3400.0,MEO,Success
"July 23, 2025",F9 B5B1081‐16,"Vandenberg, SLC‐4E",TRACERS (2 satellites)+ 5 rideshares,920.0,SSO,Success
"July 26, 2025",F9 B5B1078‐22,"Cape Canaveral, SLC‐40",Starlink: Group 10-26,16100.0,LEO,Success
"July 27, 2025",F9 B5B1075‐19,"Vandenberg, SLC‐4E",Starlink: Group 17-2,17500.0,SSO,Success
"July 30, 2025",F9 B5B1069‐26,"Cape Canaveral, SLC‐40",Starlink: Group 10-29,16100.0,LEO,Success
"July 31, 2025",F9 B5B1071‐27,"Vandenberg, SLC‐4E",Starlink: Group 13-4 + 2 Starshield satellites,14060.0,SSO,Success
"August 1, 2025",F9 B5B1094‐3,"Kennedy, LC‐39A",Crew-11 (Crew Dragon C206-6 Endeavour),13000.0,LEO (ISS),Success
"August 4, 2025",F9 B5B1080‐21,"Cape Canaveral, SLC‐40",Starlink: Group 10-30,16100.0,LEO,Success
"August 11, 2025",F9 B5B1091‐1,"Cape Canaveral, SLC‐40",KuiperSat × 24 (KF-02),14784.0,LEO,Success
"August 14, 2025",F9 B5B1093‐5,"Vandenberg, SLC‐4E",Starlink: Group 17-4,17500.0,SSO,Success
"August 14, 2025",F9 B5B1085‐10,"Cape Canaveral, SLC‐40",Starlink: Group 10-20,16100.0,LEO,Success
"August 18, 2025",F9 B5B1088‐9,"Vandenberg, SLC‐4E",Starlink: Group 17-5,17500.0,SSO,Success
"August 22, 2025",F9 B5B1092‐6,"Kennedy, LC‐39A",USSF-36 (Boeing X-37B OTV-8),4990.0,LEO,Success
"August 22, 2025",F9 B5B1081‐17,"Vandenberg, SLC‐4E",Starlink: Group 17-6,17500.0,SSO,Success
"August 24, 2025",F9 B5B1090‐7,"Cape Canaveral, SLC‐40",SpaceX CRS-33 (Dragon C211-3),2300.0,LEO (ISS),Success
"August 26, 2025",F9 B5B1063‐27,"Vandenberg, SLC‐4E",NAOS + 7 rideshares,1370.0,SSO,Success
"August 27, 2025",F9 B5B1095‐2,"Cape Canaveral, SLC‐40",Starlink: Group 10-56,16100.0,LEO,Success
